epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
211.0,0.006673887,0.06581958,0.02185778,0.005697046,0.06478915,0.02126546
212.0,0.006642731,0.06567984,0.02180619,0.005661658,0.06456724,0.02118837
213.0,0.00662087,0.06538263,0.02171001,0.005581817,0.06417726,0.02104825
214.0,0.009543673,0.06522745,0.0227276,0.009433327,0.06370735,0.02224523
215.0,0.006678714,0.06524203,0.02168542,0.005796495,0.06399886,0.02105195
216.0,0.006675683,0.06500554,0.02161335,0.005744766,0.0637091,0.02094964
217.0,0.006707625,0.06478019,0.0215555,0.005781023,0.06341942,0.02087157
218.0,0.006740672,0.06461844,0.02151723,0.005900589,0.0634365,0.02091019
219.0,0.006740554,0.06449601,0.02148042,0.005896726,0.06320811,0.02083982
220.0,0.006709963,0.0644326,0.0214518,0.005885468,0.06316789,0.02082443
221.0,0.006623464,0.06430109,0.02138535,0.005854324,0.06306359,0.020784
222.0,0.006660196,0.06415821,0.02135382,0.005962355,0.06288169,0.02075959
223.0,0.006609711,0.06405201,0.0213062,0.005921385,0.06273292,0.02070277
224.0,0.006579493,0.06389694,0.02125022,0.005906305,0.06253162,0.02063746
225.0,0.006582012,0.06375967,0.02120973,0.005919731,0.06238321,0.02059635
226.0,0.006594375,0.06359754,0.02116484,0.005927388,0.06221463,0.0205475
227.0,0.006623357,0.06354715,0.02115875,0.006017934,0.06243907,0.02064169
228.0,0.00658526,0.06342928,0.02111144,0.00592904,0.06221188,0.02054715
229.0,0.006588326,0.06337029,0.02109468,0.005919722,0.06215414,0.02052698
230.0,0.006594429,0.06325846,0.02106299,0.00589963,0.06205734,0.02049188
231.0,0.006621422,0.06315794,0.02104129,0.005928827,0.06194674,0.02046682
232.0,0.006571087,0.06307586,0.02100085,0.005827952,0.06183468,0.02040387
233.0,0.006551931,0.06299996,0.02097206,0.005780576,0.06171563,0.02035429
234.0,0.006545657,0.06286094,0.02092834,0.005746584,0.0615088,0.02028193
235.0,0.006527547,0.06267467,0.02086673,0.005709433,0.06131189,0.02021169
236.0,0.006483036,0.06250132,0.02080075,0.005637171,0.06118966,0.02015428
237.0,0.006469901,0.06241831,0.02077172,0.00567673,0.06115431,0.02015466
238.0,0.00641972,0.06233249,0.02073033,0.005627851,0.06107093,0.02011563
239.0,0.006416897,0.06227331,0.02071167,0.005623446,0.06101953,0.02009879
240.0,0.00642042,0.06215989,0.02067866,0.005617939,0.06090485,0.02006244
241.0,0.006540309,0.06207802,0.02069163,0.005670052,0.06052621,0.01996226
242.0,0.00644678,0.06204949,0.02065369,0.005608722,0.0606692,0.01998832
243.0,0.006448885,0.06187338,0.02060145,0.005596754,0.06047319,0.01992547
244.0,0.006458847,0.06172073,0.02055873,0.005578391,0.06027483,0.01986011
245.0,0.006541299,0.06150818,0.02052107,0.005648737,0.05989216,0.01976399
246.0,0.006625193,0.06141913,0.02052131,0.005671472,0.05984462,0.0197561
247.0,0.006544816,0.06141406,0.02049398,0.005617337,0.05981759,0.01973243
248.0,0.006525551,0.06137149,0.02047508,0.005612255,0.05978151,0.01972005
249.0,0.006483721,0.06129815,0.02043979,0.005624383,0.05975515,0.01971551
250.0,0.00645931,0.06125847,0.02042015,0.00562943,0.05977393,0.01972265
251.0,0.006408088,0.06117274,0.02037827,0.005607139,0.05981286,0.0197281
252.0,0.006385107,0.06123976,0.02039118,0.005711334,0.06039412,0.019934
253.0,0.006354067,0.06116219,0.02035818,0.005601039,0.06003094,0.0197925
254.0,0.006328628,0.06111507,0.02033609,0.005550922,0.06006197,0.01978779
255.0,0.006329058,0.0610183,0.02030715,0.005506775,0.06008411,0.01978218
