epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
218.0,0.0421167,0.3059746,0.1055266,0.04638636,0.3078609,0.1078403
219.0,0.04206644,0.3057965,0.1054549,0.04631621,0.3077644,0.1077826
220.0,0.04198682,0.3055893,0.1053631,0.04627263,0.3077055,0.107747
221.0,0.04242348,0.3050721,0.1053881,0.04648342,0.3070101,0.1076393
222.0,0.04205291,0.3052881,0.1053021,0.04623937,0.307328,0.1076249
223.0,0.04194454,0.3050998,0.1052042,0.04614104,0.307178,0.1075399
224.0,0.04180146,0.3046409,0.1050141,0.04598911,0.3067129,0.1073419
225.0,0.04172962,0.3043328,0.1048962,0.04586251,0.3064873,0.1072232
226.0,0.04164642,0.3039599,0.1047549,0.04574426,0.3061363,0.1070723
227.0,0.04181972,0.3034111,0.1046648,0.0459693,0.3059791,0.1071237
228.0,0.04150112,0.3031708,0.1044682,0.04564364,0.3056109,0.1068791
229.0,0.0414681,0.3029212,0.1043826,0.04568171,0.3053524,0.1068215
230.0,0.04146622,0.3026677,0.1043083,0.04574282,0.3051106,0.1067785
231.0,0.04145311,0.3023055,0.104198,0.04573467,0.3047475,0.1066713
232.0,0.04247009,0.3017719,0.1044526,0.04669036,0.303965,0.1068619
233.0,0.04153839,0.3019791,0.1041373,0.04582907,0.3043624,0.1066018
234.0,0.04146448,0.3016281,0.104006,0.04568094,0.3040406,0.1064463
235.0,0.04141919,0.3014308,0.1039308,0.045566,0.3038606,0.1063456
236.0,0.04137653,0.3012051,0.1038483,0.04545571,0.3036494,0.106238
237.0,0.04129016,0.3009482,0.1037394,0.04536036,0.3034289,0.1061342
238.0,0.04194704,0.3004611,0.1038616,0.04585583,0.3027668,0.106158
239.0,0.04136635,0.3006048,0.1036701,0.04537614,0.3030326,0.1060277
240.0,0.04126825,0.3003957,0.1035704,0.04537303,0.3028485,0.1059737
241.0,0.04123877,0.3001742,0.1034944,0.04548031,0.3026637,0.1059669
242.0,0.04124208,0.3000578,0.103462,0.04553555,0.302598,0.1059719
243.0,0.04127545,0.2996623,0.1033606,0.04564048,0.3023886,0.1059572
244.0,0.0413117,0.2990764,0.1032052,0.04573518,0.3021682,0.1059352
245.0,0.04153665,0.2985694,0.1031487,0.04572442,0.3019629,0.105872
246.0,0.04135894,0.2982332,0.1029799,0.04551993,0.3015804,0.1056747
247.0,0.04126295,0.2981705,0.1029232,0.04539256,0.3015228,0.1056034
248.0,0.04122264,0.2979944,0.1028561,0.04522542,0.3013859,0.1054926
249.0,0.0411788,0.2976723,0.1027452,0.04513933,0.3011302,0.1053826
250.0,0.04115748,0.2971565,0.1025872,0.0451088,0.300629,0.1052264
251.0,0.0413284,0.2966642,0.1025134,0.04548707,0.3000873,0.1052345
252.0,0.04107552,0.2964468,0.1023488,0.04531789,0.2998439,0.1050921
253.0,0.04102687,0.2962426,0.1022701,0.04534884,0.2995971,0.105035
254.0,0.04098974,0.295984,0.1021803,0.04544407,0.2992583,0.1049796
255.0,0.04115986,0.2956365,0.1021481,0.04564468,0.2985421,0.1048627
256.0,0.04090757,0.2955044,0.1020084,0.04539025,0.2985091,0.1047428
257.0,0.04084959,0.2953871,0.1019512,0.0452843,0.2983794,0.1046599
258.0,0.04080023,0.2951847,0.1018728,0.04519797,0.298097,0.1045421
259.0,0.04070664,0.2948231,0.1017305,0.04510264,0.2976672,0.1043783
260.0,0.04057051,0.2942957,0.1015232,0.0449974,0.2971008,0.1041713
261.0,0.05552538,0.3004338,0.1100414,0.05966237,0.3041002,0.1131693
262.0,0.04054995,0.2942213,0.1014934,0.04501044,0.2971314,0.1041856
263.0,0.04041161,0.2939842,0.1013695,0.04491785,0.2970323,0.1041174
264.0,0.04030154,0.2936213,0.1012204,0.04473005,0.2969365,0.1040092
265.0,0.04015363,0.2933551,0.1010843,0.04464913,0.2969803,0.1039869
266.0,0.04010943,0.2929156,0.1009392,0.04456733,0.2968363,0.1039107
267.0,0.04006799,0.2924121,0.1007766,0.04459253,0.296711,0.1038857
268.0,0.04000609,0.2921123,0.100665,0.04455308,0.2964276,0.1037878
269.0,0.04001915,0.2916579,0.1005384,0.04455206,0.2959788,0.1036592
270.0,0.03995702,0.2914285,0.1004471,0.04459538,0.2958892,0.1036523
271.0,0.03982951,0.2913006,0.1003593,0.04454957,0.2959067,0.1036375
272.0,0.0397268,0.2910818,0.1002551,0.04449257,0.295903,0.103612
273.0,0.03963059,0.2908534,0.1001507,0.0444086,0.2957556,0.1035339
274.0,0.03952085,0.2903692,0.09996661,0.04426278,0.2954108,0.1033729
275.0,0.03989741,0.2903321,0.1001053,0.04471228,0.295025,0.1034561
276.0,0.03947708,0.2901686,0.09989106,0.04422921,0.2950959,0.1032685
277.0,0.03941532,0.2898853,0.09978435,0.04410201,0.2946495,0.1030865
278.0,0.03936623,0.2896517,0.09969709,0.04401371,0.2942834,0.102944
279.0,0.03934345,0.2893801,0.09960918,0.04400929,0.2939181,0.1028377
280.0,0.03941982,0.2890993,0.09955784,0.04413874,0.2937847,0.1028551
281.0,0.0392711,0.2887717,0.09940385,0.04412213,0.293352,0.1027244
282.0,0.03925681,0.288611,0.09935154,0.04419217,0.2932394,0.1027224
283.0,0.03925149,0.2883904,0.09928534,0.04428639,0.2931071,0.1027252
284.0,0.03922119,0.2880324,0.09916938,0.04428434,0.2928508,0.1026512
285.0,0.041112,0.2885793,0.1000899,0.04608373,0.2937551,0.1036963
286.0,0.03920366,0.2879284,0.09913227,0.0442931,0.2928354,0.1026506
287.0,0.03912875,0.2876078,0.09900951,0.04412746,0.292593,0.10251
288.0,0.03907355,0.2874836,0.09895164,0.04401366,0.2924569,0.1024222
289.0,0.0389904,0.2873301,0.09887422,0.04384231,0.2922892,0.1023008
290.0,0.03889847,0.2871652,0.09879005,0.04372575,0.2922116,0.1022287
291.0,0.03871277,0.2867456,0.09859504,0.04355976,0.2922345,0.1021643
292.0,0.03890979,0.2866005,0.09863041,0.04371013,0.2926164,0.1023377
293.0,0.0386252,0.2865143,0.0984934,0.04345707,0.292264,0.1021291
294.0,0.03848898,0.2861746,0.09834121,0.04329995,0.2922373,0.1020546
295.0,0.03858428,0.2860298,0.0983364,0.04351647,0.2926986,0.1022787
296.0,0.03845477,0.2859751,0.09826975,0.04333261,0.2923291,0.1020948
297.0,0.03839903,0.285779,0.09819087,0.043304,0.2922205,0.1020515
298.0,0.03838595,0.2855286,0.0981129,0.0432396,0.2920251,0.1019683
299.0,0.03845013,0.2852009,0.09804269,0.04338658,0.2918461,0.1019795
300.0,0.03838244,0.2849587,0.0979457,0.04323273,0.2915945,0.1018421
301.0,0.03835871,0.2846459,0.09784538,0.04313112,0.2913097,0.1017174
302.0,0.0383516,0.2843947,0.09776954,0.0431352,0.2911193,0.1016646
303.0,0.0383214,0.2839184,0.09761912,0.04322836,0.2909412,0.1016532
304.0,0.03915916,0.2837698,0.09790796,0.04419713,0.290788,0.1020252
305.0,0.03836993,0.2836486,0.09755975,0.04331731,0.290654,0.1016089
306.0,0.03829891,0.2833915,0.09745708,0.04339308,0.2906501,0.1016401
307.0,0.03825294,0.2832405,0.09739511,0.04346693,0.2907008,0.1016861
308.0,0.03821167,0.2830135,0.09731289,0.04349544,0.2904831,0.1016361
309.0,0.03814357,0.2828635,0.09724253,0.0433995,0.290247,0.1015276
310.0,0.03811361,0.2828001,0.09721233,0.04333139,0.2899562,0.1014153
311.0,0.03796014,0.2826099,0.0970969,0.04308878,0.2896995,0.1012385
312.0,0.03794594,0.2825285,0.09706765,0.04311254,0.2896593,0.101237
313.0,0.03788639,0.2823997,0.09700688,0.0430997,0.2895602,0.1012032
314.0,0.03784004,0.2821768,0.0969239,0.04309018,0.2892744,0.1011174
315.0,0.03776378,0.2818953,0.09681219,0.04298778,0.2888956,0.1009654
316.0,0.03777203,0.2817043,0.09675978,0.04293246,0.2884025,0.1008008
317.0,0.03758262,0.2814513,0.0966123,0.04268132,0.2882248,0.1006432
318.0,0.03755286,0.281225,0.0965348,0.04258456,0.2880465,0.1005511
319.0,0.03754173,0.2809708,0.09645642,0.04247831,0.2878122,0.100439
320.0,0.03771346,0.2806975,0.09644384,0.04262515,0.2877565,0.1004852
321.0,0.03753258,0.2804744,0.09630828,0.04239143,0.287447,0.1002976
322.0,0.03751057,0.2803278,0.09625699,0.04238534,0.2873301,0.1002615
323.0,0.03751615,0.2800358,0.09617414,0.04239904,0.287199,0.1002298
324.0,0.03756242,0.2796279,0.09607347,0.04243625,0.2871108,0.1002202
325.0,0.03748848,0.2793186,0.09595454,0.042313,0.2874591,0.100268
326.0,0.03741631,0.2791402,0.09587444,0.0422409,0.2874223,0.100227
327.0,0.0372981,0.2789811,0.09578201,0.04216149,0.2875261,0.1002233
328.0,0.03736932,0.278808,0.09575935,0.04222838,0.2874024,0.100216
329.0,0.03723155,0.2787282,0.09568245,0.04213614,0.2874041,0.1001777
330.0,0.03719194,0.2785961,0.09562855,0.04214933,0.2872594,0.1001417
331.0,0.03719128,0.278434,0.09558107,0.04221969,0.2872045,0.1001556
332.0,0.03725264,0.2782556,0.09555301,0.0423685,0.287,0.1001598
333.0,0.03717383,0.2781756,0.09549901,0.04227161,0.2869101,0.1000931
334.0,0.03714257,0.2780387,0.09544697,0.04221236,0.2867497,0.1000221
335.0,0.03712809,0.2779432,0.0954135,0.04217708,0.2866384,0.0999753
336.0,0.03707175,0.2777625,0.09533895,0.04205856,0.2863954,0.09985567
337.0,0.03706463,0.2774409,0.0952425,0.04191695,0.2858334,0.09963484
